no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,mailing_option,meetup_option,meetup_location,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,brands,current_listing_price,len_posts,post_word_count,num_emojis,lemma_posts,topic,probability,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,price
49,9,Trek Madone 5.2 (excluding pedals),"800 1,200",Lightly used,Meetup,1 week ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Potong Pasir MRT Station (NE10)Woodleigh MRT Station (NE11),singbeast,Joined 9 years ago,Very Responsive,Verified,1.0,0.0,1.0,4.7,29,"Trek, Trek",800.0,723,113,0,trek madone 5.2 exclude pedal trek madone 5.2 size 52 cm -left shifter faulty -got bike frame second hand build exist new part buy second wheelset -frame stain bubble little chip tube area -not fussy buyer -fixed price self collect woodleigh potong pasir mrt shimano 105 ultegra groupset shifter shimano 105 brake shimano 105 rim brake derailleur shimano ultegra   rear derailleur shimano ultegra   crankset shimano ultegra 50 34 t 170 mm bracket shimano bb90 pressfit chain shimano 105   wheelset dt swiss r24 spline bartape supercaz reason sell rarely ride road trail mtb,3,1.0,trek,madone,bontrager,oclv,bike,slr,size,aeolus,emonda,carbon,Med
0,2,Merida Crossway 20,385,Well used,Meetup,3 days ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Kaki Bukit MRT Station (DT28),halfwaytolalaland2,Joined 4 years ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,13,"Merida, MERIDA",385.0,265,46,0,merida crossway 20 suntour nex hlo coil 63 str shimano 3 shimano rear 8 speed hydraulic disc brake power ds 100   hydraulic disc merida wire upgrade kickstand bicycle rack 20 rear tire need change accessory include frame size m nego info,2,1.0,merida,reacto,carbon,bike,shimano,ultegra,scultura,size,frame,road,Low
19,10,Giant Road Bike,540,Like new,Meetup,1 week ago,Road Bikes,Posted,Used once or twice. As good as new.,N,Y,Blk 207 Lorong 1 Toa Payoh,ttynghaur,Joined 2 years ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,24,Giant,540.0,71,12,0,giant road bike 18 speed shimano sora wheel 700×28c sr3 c brake size m,-1,0.1721589228207396,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
29,5,"Cannondale CAAD10 Road Bike, size 48","1,500",Well used,Meetup,2 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Joo Chiat Terrace,mtheo,Joined 6 years ago,Mostly Responsive,Verified,1.0,1.0,1.0,5.0,9,"Cannondale, Cannondale",1500.0,894,141,0,"cannondale caad10 road bike size 48 brand cannondale model caad10 women 5 105 weight 1,020 gram   frame size 48 cm color matte black mint green fork type carbon frame type smartformed 6069 lightweight alloy di2 ready bracket fsa bb30 brake lever shimano 105 5700 brake tektro r580 cassette shimano 105 5700 11 28 10 speed chain shimano 105 5700 10 speed crankset fsa gossamer pro rear derailleur shimano 105 5700 braze rims type upgrade t3 accellero 40 pro 6000 series alloy black anodise finish   tire schwalbe lugano 700x23c condition 8/10 pre loved good friend pandemic period note scratch mark brand new   fyi user 163 cm height feel free contact view buyer waste time interested thank",-1,0.12669245862065381,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,High
12,1,2009 Cervelo P2 (Frame),800,Heavily used,Meetup,1 week ago,Road Bikes,Posted,Has obvious signs of use or defects.,N,Y,Bedok Mall,TJ055,Joined 7 years ago,Mostly Responsive,Verified,1.0,1.0,1.0,5.0,9,Cervelo,800.0,94,15,0,2009 cervelo p2 frame custom paint serial code intact   size 54 crank wheel,-1,0.3542136241846258,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Med
9,6,Merida Scultura 400,900,Lightly used,Meetup,4 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Bedok Reservoir,Fildefer,Joined 8 years ago,Very Responsive,Verified,0.0,1.0,1.0,5.0,1,Merida,900.0,294,50,0,merida scultura 400 -carbon fork saddle -aluminium frame -shimano 105 -fulcrum wheel set size 170 180 cm 173 buy refurbish bikemart 10 time sell upgrade chain need bit oiling good new nego price quick sell,2,0.5517550128494523,merida,reacto,carbon,bike,shimano,ultegra,scultura,size,frame,road,Med
48,2,Gaint 2021 TCR Advance 2 Size XS Cbrake,"2,000 2,200",Lightly used,Meetup,3 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Blk 178 Edgefield Plains,weiyigougou,Joined 8 years ago,Very Responsive,Verified,1.0,1.0,1.0,4.9,7,Giant,2000.0,302,53,0,gaint 2021 tcr advance 2 size xs cbrake r7000 shimano 105 groupset   upgrade 50 mm powerway r36 carbon   wheelset conti pro 5000 tyre loud hub saddle giant sl chainring 52/36 t   kmc x11 sl chain xs size suitable 173 cm bike light weight   7.8 kg good climb,1,1.0,giant,tcr,shimano,advanced,size,pro,disc,carbon,wheelset,advance,High
3,1,Merida giant Twitter hybird bike carbon fiber on off road bicycle shimano,430,Brand new,Mailing · Meetup,2 weeks ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,Y,Y,Kapo Factory Building03-03 ( Block A),gcycle,Joined 5 years ago,Very Responsive,Verified,1.0,0.0,1.0,4.9,65,"giant, Giant, Merida, Merida",430.0,602,90,0,merida giant twitter hybird bike carbon fiber road bicycle shimano hybird bike range 430 1400 ready stock   viewing test ride self collection available   free delivery brand available giant merida dahon fnhon crius java hito rifle twitter sava trinx raleigh 3sixty shop gcycle contact number 8875 8715   address kapo factory building block 03 03 singapore 367998 ready stock   viewing test ride self collection available   free delivery shop gcycyyle contact 8875 8715 address 80 playfair road block 03 03                    singapore 367998,-1,0.03671632095537286,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
16,5,Kids bicycles with training wheels,19,Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Bukit Batok Central Park,captain2022,Joined 5 years ago,Very Responsive,Verified,1.0,0.0,1.0,4.8,101,giant,19.0,234,45,0,kid bicycle training wheel kid bicycle 2 pc buy jurong east   giant store 65 sell away 38 bike paddle break air need pump bike lock pic provide,-1,0.20561305878731975,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
30,1,Giant TCR Advanced 2021 SLR1 42 Carbon Wheelset R7000 Full Road Bike,"1,890",Like new,Meetup,Yesterday,Road Bikes,Bumped,Used once or twice. As good as new.,N,Y,Serangoon,zobikes,Joined 3 years ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,117,"Giant, GIANT, Giant, Giant, Giant",1890.0,533,82,2,"giant tcr advanced 2021 slr1 42 carbon wheelset r7000 road bike giant tcr advanced 2021 r7000 slr1 42 carbon wheels bike •giant tcr advance 2021 carbon frameset uci approved •shimano r7000 105 groupset 11speed •giant slr-1 42 mm carbon wheelset continental gp5000 tyres rtp 1,350 •giant contact cockpit excellent condition zero issue super light fast especially slr1s sell 1,890 super cheap   build cost 3,700 8498 0668 telegram channel/ instagram late update",1,1.0,giant,tcr,shimano,advanced,size,pro,disc,carbon,wheelset,advance,High
25,7,2021 TCR Advanced 1 in great condition,"1,950 2,100",Lightly used,Meetup,3 hours ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Stadium MRT Station (CC6),sharmapankaj,Joined 3 years ago,Mostly Responsive,Verified,1.0,0.0,1.0,0.0,0,Giant,1950.0,444,75,0,2021 tcr advanced 1 great condition tcr advanced   carbon frame fork seat post ultegra real derailleur   cassette shimano 105 size m regular maintenance tay junction ubi   share late maintenance receipt tyre continental   wheel pr2 rfs upgrading giant bike   rear light incl   new handle tape instal 2 week clip pedals ultegra incl worth 150 low baller ignore,1,1.0,giant,tcr,shimano,advanced,size,pro,disc,carbon,wheelset,advance,High
11,6,Bombtrack bicycle,800,Lightly used,Meetup,3 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Blk 756,angsana72,Joined 6 years ago,Not Responsive,Verified,1.0,1.0,0.0,5.0,4,Bombtrack,800.0,18,2,0,bombtrack bicycle,1,0.2379196308645287,giant,tcr,shimano,advanced,size,pro,disc,carbon,wheelset,advance,Med
10,10,Zunow Mini velo purple metallic,"1,800",Well used,Meetup,5 days ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Estella Gardens Carpark,yttika,Joined 6 years ago,Very Responsive,Verified,1.0,0.0,1.0,4.9,150,Cinelli,1800.0,488,84,0,zunow mini velo purple metallic metallic lilac light purple steel zunow minivelo japan frameset zunow di picce monostay pentagla chainstay fork   headset dura ace crankset drivetrain dura ace brakeset dura ace seat post dura ace 27.2 mm stem cinelli quill   handlebar nitto rm016 moustache   wheel araya 24 inch lace dura ace hub tyre new irc aspite 24 x 1/25 520 size tube 52 cm seat tube 52 cm c c dm detail,2,0.5563932418352716,merida,reacto,carbon,bike,shimano,ultegra,scultura,size,frame,road,High
56,5,Gios Antico Mini Velo Size 48,700,Lightly used,Meetup,2 months ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Faber Crest Condominium,allthebest25,Joined 8 years ago,Mostly Responsive,Verified,1.0,1.0,1.0,5.0,60,Bianchi,700.0,413,75,0,"gios antico mini velo size 48 gios antico mini velo 20 "" wheel 105 crank tiagra derailleur   10 speed size 48 manufacture taiwan purchase japan long production wheel easily dismantle bike fit car backseat mini velo bianchi lepre list check price nego intend welcome view collect s129195",-1,0.15697050985527863,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Med
15,7,Trek brand bicycles,300,Like new,Meetup,4 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,N,Y,Siglap Centre,shinestars,Joined 7 years ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,10,"Trek, trek",300.0,107,16,0,trek brand bicycle adult trek bicycle   good condition   aluminum frame   city bike   photo upload,3,0.7000670595293157,trek,madone,bontrager,oclv,bike,slr,size,aeolus,emonda,carbon,Low
3,3,Trek FX3 (2022) Disc,988,Like new,Meetup,2 days ago,Road Bikes,Posted,Used once or twice. As good as new.,N,Y,East Coast RoadDunman Road,siddhu45,Joined 7 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,1,"Trek, Trek",988.0,404,68,0,trek fx3 2022 disc try buy price negotiable fast sale bike detail 2022 trek fx3 model size l suitable male accessory bottle holder bell include rear disk brake buy end year occasionally   travel overseas year got service check sell new owner rider :)),3,0.48639623527985804,trek,madone,bontrager,oclv,bike,slr,size,aeolus,emonda,carbon,Med
74,10,Merida Reacto 5000 “To The Fore” special edition,"1,900",Well used,Meetup,2 months ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Primz Bizhub,xiaopanggg,Joined 8 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,31,"Merida, Merida",1900.0,397,67,0,"merida reacto 5000 "" fore "" special edition special edition merida reacto 5000 movie 破风 bike spec 2016 reacto 5000 size xs frame 105 brake ultegra shifter fsa crank custom carbon wheel time xpresso pedal small stone chip rear chain stay chain guard worn   selling utilisation   view place convenience price negotiable",2,1.0,merida,reacto,carbon,bike,shimano,ultegra,scultura,size,frame,road,High
4,2,Merida Scultura road bike,"1,500",Well used,Meetup,3 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Blk 325 Woodlands Street 32Can meet anytime at coffee shop.,ongteenkoon,Joined 1 year ago,Not Responsive,Verified,1.0,0.0,1.0,0.0,0,"Merida, Merida",1500.0,258,40,0,merida scultura road bike merida scultura evo 908 20 speed carbon road bike ksyrium elite wheelset come shimado ultegra shifter dura ace derailleur sram force chain set sram force brake size 46 48 cm maintain good condition,2,1.0,merida,reacto,carbon,bike,shimano,ultegra,scultura,size,frame,road,High
9,6,Giant OCR 5300 2019 Road Bike,550,Well used,Meetup,3 days ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Zhongshan Park | 中山公园 (Zhongshan Park),afung,Joined 4 years ago,Very Responsive,Verified,1.0,1.0,1.0,4.9,11,"Giant, Giant",550.0,239,44,0,giant ocr 5300 2019 road bike sell giant ocr 5300 2019 road bike regular commute weekend cycling size s. let know question bike willing negotiate price hesitate ask,-1,0.37572601995622007,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
15,8,Giant XTC Jr 24,200 250,Like new,Meetup,1 week ago,Road Bikes,Posted,Used once or twice. As good as new.,N,Y,Stevens MRT Interchange (DT10/TE11)Greenwich V,icemanvdp,Joined 2 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,7,"Giant, Giant",200.0,657,104,0,"giant xtc jr 24 giant xtc jr 20 mint condition x 3 time like brand new primary 3/4 ride check height gear shimano altus upgrade revoshift 7 speed lightweight frame   aluxx grade aluminum frame provide lightweight purpose build chassis aspire young road rider confidence control   20 "" wheel suspension young rider performance need true road ride   kid friendly feature   youth specific performance component help young rider improve off- road skill half price new bike like brand new   rfs clearing space   delivery arrange small fee",1,0.32395768610875175,giant,tcr,shimano,advanced,size,pro,disc,carbon,wheelset,advance,Low
10,5,Schwinn super sport Hybrid bike S #btwin# specialized #marin#giant,199,Lightly used,Meetup,3 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Woodlands Vista,p3bikemart0003,Joined 1 year ago,Very Responsive,Verified,1.0,0.0,1.0,4.5,24,"giant, specialized",199.0,171,25,0,schwinn super sport hybrid bike s btwin specialize marin#giant great condition bike   mechanical disc brake wheel size 700cc frame size s shimano tourney 7 3 speed,-1,0.1644279108780352,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
27,6,Cannondale supersix evo 2015 size 50,"1,800",Well used,Meetup,2 months ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Petir Road,ion23,Joined 9 years ago,Mostly Responsive,Verified,1.0,1.0,1.0,5.0,79,"Cannondale, cannondale, Cannondale, Cannondale, Cannondale, Cannondale, cannondale",1800.0,538,86,0,cannondale supersix evo 2015 size 50 sell cannondale supersix evo 2015 model ultegra groupset upgrade stock include follow addition 2 carbon fiber water bottle cage carbon seat post fabric saddle shimano clipless pedal cannondale foot pump cannondale handpump cannondale helmet cannondale seat bag hand tool self pickup location delivery convenience buyer bike service cannondale rfs need space house time ride,-1,0.10699431978210791,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,High
4,4,Giant Escape Disc 3 Small,450,Lightly used,Mailing · Meetup,2 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",Y,Y,Bidadari Park,legit1111,Joined 6 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,197,"Giant, Giant, Giant",450.0,701,126,0,giant escape disc 3 small giant escape disc 3 great bike commute run errand get town good condition maintain bike shimano tourney drivetrain tektro mechanical disc brake piston rim continental 5000s bike size small perfect rider 152 165 lightweight bike easy ride maneuver disc brake provide excellent stop power wet condition size small giant escape disc 3 frame height 52 cm bike ready ride need tune great condition sell upgrade new bike,-1,0.13809567971236753,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
38,5,Giant Road Bike XS,450,Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,East Coast Park,fezplease,Joined 7 years ago,Very Responsive,Verified,1.0,0.0,1.0,4.8,17,Giant,450.0,209,37,0,giant road bike xs son grow road bike aluminium frame carbon fibre fork seat deteriorate singapore climate need attention item good condition,-1,0.16177832866467093,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
20,2,Canyon Endurace 7 AL Stealth (2021 version),"1,599",Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Telok Kurau Park,theancientseller,Joined 9 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,17,Canyon,1599.0,467,72,0,canyon endurace 7 al stealth 2021 version size s.   rim brake   purchase july 2021   maintain wash lubricate minimally 2 ride keep indoor expose element   come accessory   eg bottle cage bicycle light lubricant clean equipment etc   rfs move space store bicycle :( open nego interested   accessory available bike maintenance stand wahoo bolt v2,4,1.0,canyon,cf,bike,ultimate,endurace,aeroad,size,sl,shimano,new,High
13,2,Liv Road Bike,250,Well used,Meetup,3 days ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Concept East Coast,hoops83,Joined 5 years ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,17,"Liv, Liv",250.0,75,14,0,liv road bike liv women road bike   good condition size small   250 ono,-1,0.1947641236079161,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
12,6,Colnago Strada SL - size 50/52,"1,650",Lightly used,Meetup,2 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Choa Chu Kang680205,farysaamal,Joined 3 years ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,6,"Colnago, Colnago, Colnago",1650.0,217,33,0,colnago strada sl size 50/52 authentic colnago strada sl super light design italy original colnago part   shimano 105 groupset xoss bike computer   stem mount light   seat mount rear light   negotiable,-1,0.08724757832251083,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,High
12,1,Boardman Road Bike,800,Lightly used,Meetup,3 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Punggol MRT/LRT Interchange (NE17/PTC),yusripantat,Joined 3 years ago,Not Responsive,Verified,1.0,0.0,1.0,5.0,1,Boardman,800.0,46,10,0,boardman road bike n 780 dm,1,1.0,giant,tcr,shimano,advanced,size,pro,disc,carbon,wheelset,advance,Med
58,8,Cervelo P2 carbon triathlon / TT / time trial bike,"1,600",Lightly used,Meetup,2 months ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Spottiswoode Residences,madasahattersley,Joined 2 years ago,Mostly Responsive,Verified,1.0,1.0,1.0,4.7,13,"Cervelo, Cervelo",1600.0,312,53,0,cervelo p2 carbon triathlon tt time trial bike great tt bike nice condition golden era cervelo gerard vroomen charge   frame size 61 tall rider dura ace 7900   slight scuff left hand bar   supply shimano rs10 wheel continental gp5000 tyre  ,-1,0.22420460930713743,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,High
27,8,Ridley Helium Road Bike,"1,700 1,900",Lightly used,Meetup,2 months ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Bukit Gombak MRT Station (NS3),sourb100,Joined 3 years ago,Very Responsive,Verified,1.0,0.0,1.0,4.9,35,Ridley,1700.0,130,20,0,ridley helium road bike 11 speed ultegra mechanical groupset 50/34 super light carbon setup oversized derailleur   pm info,-1,0.19543684879853182,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,High
10,2,Wilier,500,Like new,Meetup,1 week ago,Road Bikes,Posted,Used once or twice. As good as new.,N,Y,7-Eleven,parrotlover,Joined 9 years ago,Very Responsive,Verified,0.0,1.0,1.0,4.7,65,Wilier,500.0,239,45,0,wilier condition 9/10 bike loud smooth hub new brake caliper new brake lever new shifter cable new brake cable new tube 700x28c new tyre 700x28c new brake pad new crankset fsa new bb fsa fsa headset carbon fork bike size s 9 speed,-1,0.1730887369618946,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
9,10,"Giant Propel, Scott 940, Avanti Aggressor","2,000",Well used,Meetup,1 week ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Kovan MRT Station (NE13),user271002,Joined 5 years ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,58,"Giant, Giant, Scott, Scott",2000.0,239,44,0,giant propel scott 940 avanti aggressor sell list bike 1 giant propel advanced 2 2000 cond 8/10 size m l 2 scott 940 500 cond 6.5/10 size m 3 avanti aggressor   488 cond 6/10 size m 2800,-1,0.1958020136578134,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,High
31,2,[Rarely Used] Cannondale CAAD10 3 Ultegra (Size 50),"1,800",Lightly used,Meetup,4 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Waterway PointPunggol Plaza,ttan90,Joined 4 years ago,Mostly Responsive,Verified,1.0,0.0,1.0,5.0,11,"Cannondale, Cannondale",1800.0,538,82,0,"rarely cannondale caad10 3 ultegra size 50 cannondale caad10 3 ultegra sale rarely condition 9/10 sell hardly use prefer brompton instead frame caad10 smartformed 6069 alloy speed save bb30 fork caad10 speed save carbon 1 1/8 "" 1 1/4 "" taper steerer crank fsa sl k light carbon bb30 50/34 bracket fsa bb30 shifters shimano ultegra 6700 cog set shimano ultegra 6700 12 25 10 speed chain shimano ultegra 6700 10 speed rim mavic aksium wts",-1,0.12478438478747424,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,High
7,4,Kids Trek Bicycle,85,Well used,Meetup,4 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Swimming Pool @Regentville,kt8013,Joined 4 years ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,3,"Trek, trek",85.0,69,12,0,kids trek bicycle kid trek bicycle good condition,-1,0.3031890265416468,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
29,6,Twitter sniper pro carbon Road bike chameleon not trek#Polygon#Fuji#btwin,615,Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Woodlands Vista,p3bikemart0003,Joined 1 year ago,Very Responsive,Verified,1.0,0.0,1.0,4.5,24,trek,615.0,305,41,0,twitter sniper pro carbon road bike chameleon trek#polygon#fuji#btwin twitter sniper pro carbon road bike chameleon frame carbon frame   weight:8.3 kg bike   shifter retrospec speed   brake retrospec light weight brake   fork carbon fiber fork   speed 11   wheel alloy frame size 55 l,-1,0.17851200871627423,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Med
8,5,Merida Wheelset,130 150,Brand new,Meetup,2 weeks ago,Road Bikes,Bumped,Never used. May come with original packaging or tag.,N,Y,Blk 91 Bedok North Street 4,ng.jack,Joined 9 years ago,Mostly Responsive,Verified,1.0,1.0,1.0,4.9,41,"giant, trek, canyon, specialized, Merida, Merida",130.0,103,15,0,merida wheelset ridden   merida giant polygon specialized trek btwin triban canyon,2,1.0,merida,reacto,carbon,bike,shimano,ultegra,scultura,size,frame,road,Low
7,7,700c Polygon Helios F road bike flat bar,450,Like new,Meetup,3 days ago,Road Bikes,Posted,Used once or twice. As good as new.,N,Y,Yishun Street 22,.i.am.jj.,Joined 3 years ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,88,look,450.0,854,155,0,700c polygon helios f road bike flat bar come look test decide price nego   feel free message bicycle want come view update early prepare thank understanding frame size 50 suitable height 160 180   odi grip new entity stem handlebar   prowheel ounce crankset 53 t selle italia saddle   entity seatpost   tektro c brake shimano tiagra 1x10 speed gearset 700x 25c tyre   note transport come interested bike paynow 30 transport send bike address view test bike bike okay pay balance bike suit view 30 count transport free,-1,0.14763291452483826,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
20,5,Giant Propel Advanced 2 - Size S (ONLY TWO MONTH OLD),"1,960",Like new,Meetup,3 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,N,Y,Bus Stop 84601 (Opp Blk 738),shreyas1990-28475,Joined 1 year ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,1,Giant,1960.0,397,77,0,giant propel advanced 2 size s month old buy april tay junction bukit timah month old 1k kms   have sell relocate let single scratch damage bike maintain size s reference 178 cm tall 84 cm inseam stock bike description web  ,-1,0.20479874526209596,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,High
7,2,Trek Emonda ALR5,"2,000",Well used,Meetup,1 week ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Waterway Ridges,ojsojs,Joined 3 years ago,,Verified,1.0,0.0,1.0,3.9,4,Trek,2000.0,198,33,0,trek emonda alr5 2015 model take care shimano 105 xcadey crank power meter prime carbon 50 mm wheelset pedal inclusive size 52 bottle cage phone holder light bag include,-1,0.29519655800764516,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,High
14,4,🆕🔥GIANT ESCAPE 1 2022 CN Disc Brake Hybrid Bike | City Hydraulic Brake Bicycle,688,Brand new,Meetup,3 weeks ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,N,Y,9002 tampines St 93 Level 4,bikeco,Joined 9 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,1000,"GIANT, Giant, Giant",688.0,1651,258,26,giant escape 1 2022 cn disc brake hybrid bike city hydraulic brake bicycle price 1 bike(firm ready stock brand new ready sets pre order require   free bike assembly tune free 3 month tuning adjustment limited warranty free gift bike stand bell multi tools bottle cage available sets limited size xs suitable 150 160 cm rider   size s suitable 160 172 cm rider size m suitable 170 cm 180 cm rider   installment plan available contact info   add limited sets ):   package 1 25   usb rechargeable light rear light cable lock   upgrade bottle cage design    package 2 48   usb rechargeable light rear light 5 digit number lock   upgrade bottle cage design phone holder                 dealing options self collection   9002 tampines st 93 singapore 528836 appointment      island wide bike delivery additional 35 specification frame giant escape allux fork aluminium alloy shift lever shimano altus 3x8 speed derailleur shimano tourney 3 speed rear derailleur shimano tourney 8 speed brake tektro hydraulic disc brake crankset 48/38/28 t cassette shimano 12 32 t   tire   giant s x3 700x35c tyre   difference escape 1 2 escape 1 hydraulic disc brakes 24 speed shimano gears aluminium fork escape 2 mechanical disc brakes 21 speed shimano gears carbon steel fork   follow telegram channel late product upcoming promotion t.me/bikecosg check listing bicycle parts accessories,-1,0.1378966896195322,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Med
19,4,Argon 18 E-114 Tri bike,"1,300",Well used,Meetup,3 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Bukit Regency,freed0m,Joined 8 years ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,41,", ",1300.0,250,47,0,argon 18 e-114 tri bike argon 18 e-114 bike champion era size xs tri triathlon bike champion let reasonable price rotor crank set max tire size 23c condition 8/10 pm need photo,-1,0.26764118236599416,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,High
25,3,Merida Reacto 400,900,Well used,Meetup,3 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Estella Garden Condo,niteshparasher,Joined 5 years ago,Mostly Responsive,Verified,1.0,1.0,1.0,5.0,8,Merida,900.0,80,14,0,merida reacto 400 xs work height 168 good condition rfs upgrade,2,1.0,merida,reacto,carbon,bike,shimano,ultegra,scultura,size,frame,road,Med
13,1,Specialized,"1,000",Well used,Meetup,4 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Compass One,mynamejefftheboyboy,Joined 3 years ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,21,"Specialized, Specialized",1000.0,495,80,0,specialized size 52 frame color bike navy blue white condition bike 7.5/10 wipe ride usual wear&tear/ scuff saddle tip slightly peel o crash come stock shimano claris 2000 8 speed groupset shimano crankset 50/34 sunrace 8 speed cassette 11 32 carbon fork axis sport rear tyre internal cable route specialized bottle cage weighs 9 kg rear light qns feel free text   thank reading nice day,0,0.2310900839816778,specialized,bike,mm,carbon,tarmac,shimano,size,saddle,sram,ultegra,Med
13,5,Merida Reacto 400 Blue in excellent condition for sale,800,Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Choa Chu Kang MRT/LRT Interchange (NS4/BP1),chongsp2013,Joined 7 years ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,1,Merida,800.0,205,35,0,merida reacto 400 blue excellent condition sale buy year ago excellent condition stop ride long time sell half price low ball will entertain,2,0.8607154376423747,merida,reacto,carbon,bike,shimano,ultegra,scultura,size,frame,road,Med
